Category,Vendor,Product,Random,Name,Manufacturer,Scheme,Assurance Level,Protection Profile(s),Certification Date,Archived Date,Certification Report URL,Security Target URL,Maintenance Date,Maintenance Title,Maintenance Report,Maintenance ST
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"SOMA-c016 Machine Readable Electronic Document eIDAS QSCD Application, version 3",HID Global,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1",9/10/2020,9/10/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0061440-CR(QSCD).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/HIDGlobal_ST-LITE_SOMA-c016_QSCD_v1.3.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"SOMA-c016 Machine Readable Electronic Document ICAO Application - BAC, version 3",HID Global,NL,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,9/10/2020,9/10/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0061438-CR(BAC).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/HIDGlobal_ST-LITE_SOMA-c016_BAC_v1.4.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"SOMA-c016 Machine Readable Electronic Document ICAO Application - EAC-PACE-AA, version 3",HID Global,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",9/10/2020,9/10/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0061439-CR(EAC).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/HIDGlobal_ST-LITE_SOMA-c016_EAC-PACE-AA_v1.4.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Infineon smart card IC (Security Controller) IFX_CCI_000007h, 000009h, 00000Ah, 00000Bh, 000016h, 000017h, 000018h, 000023h, 000024h, design step G13 with optional libraries and with specific IC dedicated software",Infineon Technologies AG,DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,9/2/2020,9/2/2025,http://www.commoncriteriaportal.org:443/files/epfiles/0961V5a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/0961V5b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,HiSilicon MSP V1.0,HiSilicon,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5",,8/20/2020,8/20/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0138342-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/MSP V1.0 on Kirin 9000 Series Security Target V12.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,STMicroelectronics STSafe S300 v1.2.5,STMicroelectronics S.r.l et STMicroelectronics,NL,"EAL4+,ALC_DVS.2,AVA_VAN.5",,8/20/2020,8/20/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0176780-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST] STSafe300 Security Target_LITE_A.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"STARCOS 3.7 ID eAT BAC C1, STARCOS 3.7 ID ePass BAC C1",G&#x2b;D Mobile Security GmbH,DE,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,8/18/2020,8/18/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1076a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1076b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Infineon Mercury ePassport v2.20,Infineon Technologies AG,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_BA_V1.10",8/5/2020,8/5/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-146301-CR2.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST-Mercury] Security_Target_Mercury v3.5.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Infineon Voyager ePassport v2.20,Infineon Technologies AG,NL,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_BA_V1.10",8/5/2020,8/5/2025,http://www.commoncriteriaportal.org:443/files/epfiles/NSCIB-CC-0112113-CR.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[ST-Voyager] Security_Target_Voyager v1.6.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"STARCOS 3.7 ID ePA C1, STARCOS 3.7 ID eAT C1, STARCOS 3.7 ID ePass C1",G&#x2b;D Mobile Security GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","MR.ED-ON-PP,MR.ED-PP_V2.2",8/5/2020,8/5/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1077a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1077b_pdf.pdf,2/9/2022,"STARCOS 3.7 ID ePA C1, STARCOS 3.7 ID eAT C1, STARCOS 3.7 ID ePass C1",http://www.commoncriteriaportal.org:443/files/epfiles/1077ra1a_pdf.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"STARCOS 3.7 ID ePA C1, STARCOS 3.7 ID eAT C1, STARCOS 3.7 ID ePass C1",G&#x2b;D Mobile Security GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5","MR.ED-ON-PP,MR.ED-PP_V2.2",8/5/2020,8/5/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1077a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1077b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,KOMSCO JK62 V1.0,KOMSCO,KR,"EAL5+,ALC_DVS.2,AVA_VAN.5",SCOP_V2.2,8/4/2020,8/4/2025,http://www.commoncriteriaportal.org:443/files/epfiles/KECS-ISIS-1031-2020 CR(KOMSCO JK62 V1.0)(eng).pdf,http://www.commoncriteriaportal.org:443/files/epfiles/[JK62-TR-0001] Security Target-Lite-e-v1.2.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v3 on JCOP 4 P71 in ICAO EAC with PACE configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_72fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_72en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v3 on JCOP 4 P71 in SSCD configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4",7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_73.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_73en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v3.1 on JCOP 4 P71 in ICAO BAC configuration,NXP Semiconductors,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_74fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_74en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v3.1 on JCOP 4 P71 in ICAO EAC with PACE configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_75fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_75en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v3.1 on JCOP 4 P71 in SSCD configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4",7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_76.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_76en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IDEMIA_HC_Germany_NEO_G2.1_COS, V1",IDEMIA Germany GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",BSI-CC-PP-0082-V4-2019,7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1098a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1098b_pdf.pdf,9/14/2021,"IDEMIA_HC_Germany_NEO_G2.1_COS, V1",http://www.commoncriteriaportal.org:443/files/epfiles/1098ma1a_pdf.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IDEMIA_HC_Germany_NEO_G2.1_COS, V1",IDEMIA Germany GmbH,DE,"EAL4+,ALC_DVS.2,ATE_DPT.2,AVA_VAN.5",BSI-CC-PP-0082-V4-2019,7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1098a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1098b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Xaica-Alpha PLUS ePassport on MTCOS Pro 2.5 with SAC (BAC+PACE) and Active Authentication / ST31G480 D01,MaskTech International GmbH,DE,"EAL4+,ALC_DVS.2",,7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1074V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1074V2b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,Xaica-Alpha PLUS ePassport on MTCOS Pro 2.5 with SAC (PACE) and Active Authentication / ST31G480 D01,MaskTech International GmbH,DE,"EAL4+,ALC_DVS.2,AVA_VAN.5",,7/30/2020,7/30/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1073V2a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1073V2b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in BAC and CA configuration on ID-One Cosmo V9.1(Code SAAAAR : 203523),Idemia,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_55fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-55en.pdf,2/5/2021,ANSSI-CC-2020/55-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_55-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in BAC and CA configuration on ID-One Cosmo V9.1(Code SAAAAR : 203523),Idemia,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_55fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-55en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in BAC and CA configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_60fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-60en.pdf,2/5/2021,ANSSI-CC-2020/60-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_60-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in BAC and CA configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_60fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-60en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC configuration on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_56fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-56en.pdf,2/5/2021,ANSSI-CC-2020/56-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_56-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC configuration on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_56fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-56en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_61fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-61en.pdf,2/5/2021,ANSSI-CC-2020/61-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_61-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.1,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_61fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-61en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration for French ID on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_58fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-58en.pdf,2/5/2021,ANSSI-CC-2020/58-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_58-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration for French ID on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_58fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-58en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration for French ID on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_63fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-63en.pdf,2/5/2021,ANSSI-CC-2020/63-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_63-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration for French ID on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_63fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-63en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_57fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-57en.pdf,2/5/2021,ANSSI-CC-2020/57-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_57-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration on ID-One Cosmo V9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_57fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-57en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_62fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-62en.pdf,2/5/2021,ANSSI-CC-2020/62-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_62-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in EAC with PACE configuration on ID-One Cosmo V9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5",MRTD_ICAO_EAC_V1.3,7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_62fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-62en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in SSCD configuration on Cosmo v9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_59fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-59en.pdf,2/5/2021,ANSSI-CC-2020/59-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_59-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in SSCD configuration on Cosmo v9.1 (code SAAAAR : 203523),Idemia,FR,"EAL5,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_59fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-59en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in SSCD configuration on Cosmo v9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_64fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-64en.pdf,2/5/2021,ANSSI-CC-2020/64-M01,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_64-m01.pdf,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,CombICAO Applet v2.1 in SSCD configuration on Cosmo v9.2 (code SAAAAR : 203523),Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/27/2020,7/27/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_64fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020-64en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"Infineon smart card IC (Security Controller) IFX_CCI_000011h, 00001Bh, 00001Eh, 000025h, design step G12 with optional libraries and with specific IC dedicated software",Infineon Technologies AG,DE,"EAL6+,ALC_FLR.1",SECURITY_IC_AUGP_V1.0,7/24/2020,7/24/2025,http://www.commoncriteriaportal.org:443/files/epfiles/1025V3a_pdf.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/1025V3b_pdf.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v2 on JCOP 3 P60 in ICAO BAC configuration,NXP Semiconductors,FR,"EAL4+,ADV_FSP.5,ADV_INT.2,ADV_TDS.4,ALC_CMS.5,ALC_DVS.2,ALC_TAT.2,ATE_DPT.3",MRTD_ICAO_BA_V1.10,7/22/2020,7/22/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_46fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/cible-anssi-cc-2020_46.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v2 on JCOP 3 P60 in ICAO EAC with PACE configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",7/22/2020,7/22/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_47fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/cible-anssi-cc-2020_47.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,ChipDoc v2 on JCOP 3 P60 in SSCD configuration,NXP Semiconductors,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/22/2020,7/22/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_48fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/cible-anssi-cc-2020_48.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,THD89 Secure Microcontroller version 1.0 with Crypto Library version 1.01,"Tongxin Microelectronics Co., Ltd.",ES,"EAL6+,ASE_TSS.2",SECURITY_IC_AUGP_V1.0,7/18/2020,7/18/2025,http://www.commoncriteriaportal.org:443/files/epfiles/2018-36-INF-3198.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2018-36-ST_Lite.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"CELES-c001 Machine Readable Electronic Document ICAO Application - Basic Access Control, version 1 (CELES-c001_1)",HID Global,ES,"EAL4+,ALC_DVS.2",MRTD_ICAO_BA_V1.10,7/11/2020,7/11/2025,http://www.commoncriteriaportal.org:443/files/epfiles/2017-17-INF-3169.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2017-17-ST_Lite.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"CELES-c001 Machine Readable Electronic Document ICAO Application - EAC-PACE-AA, version 1 (CELES-c001_1)",HID Global,ES,"EAL5+,ALC_DVS.2,AVA_VAN.5","EPASS_PACE_V1.0,MRTD_ICAO_EAC_V1.3",7/11/2020,7/11/2025,http://www.commoncriteriaportal.org:443/files/epfiles/2017-18-INF-3170.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2017-18-ST_Lite.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"CELES-c001 Machine Readable Electronic Document SSCD Application, version 1 (CELES-c001_1)",HID Global,ES,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART5_V1.0.1",7/11/2020,7/11/2025,http://www.commoncriteriaportal.org:443/files/epfiles/2017-19-INF-3171.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/2017-19-ST_Lite.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IAS ECC V2, version 1.3 en configuration #1 sur la plateforme ID-One Cosmo v8.2",Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","P_SSCD_PART4_V1.0.1,PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2,PP_SSCD_PART5_V1.0.1,PP_SSCD_PART6_V1.0.4",7/9/2020,7/9/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_50fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_50en.pdf,,,,
"ICs, Smart Cards and Smart Card-Related Devices and Systems",,,,"IAS ECC V2, version 1.3 en configuration #2 sur la plateforme ID-One Cosmo v8.2",Idemia,FR,"EAL5+,ALC_DVS.2,AVA_VAN.5","PP_SSCD_PART2_V1.03,PP_SSCD_PART3_V1.0.2",7/9/2020,7/9/2025,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cc-2020_51fr.pdf,http://www.commoncriteriaportal.org:443/files/epfiles/anssi-cible-cc-2020_51en.pdf,,,,
