CWE_ID,NAME,DESCRIPTION,LIKELIHOOD_OF_EXPLOIT
132,DEPRECATED: Miscalculated Null Termination,This entry has been deprecated because it was a duplicate of CWE-170. All content has been transferred to CWE-170., 
1320,Improper Protection for Out of Bounds Signal Level Alerts,Untrusted agents can disable alerts about signal conditions exceeding limits or the response mechanism that handles such alerts., 
1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution'),"The software receives input from an upstream component that specifies attributes that are to be initialized or updated in an object, but it does not properly control modifications of attributes of the object prototype.", 
1322,"Use of Blocking Code in Single-threaded, Non-blocking Context","The product uses a non-blocking model that relies on a single threaded processfor features such as scalability, but it contains code that can block when it is invoked.", 
1323,Improper Management of Sensitive Trace Data,Trace data collected from several sources on the System-on-Chip (SoC) is stored in unprotected locations or transported to untrusted agents., 
1324,Sensitive Information Accessible by Physical Probing of JTAG Interface,"Sensitive information in clear text on the JTAG interface may be examined by an eavesdropper, e.g. by placing a probe device on the interface such as a logic analyzer, or a corresponding software technique.", 
1325,Improperly Controlled Sequential Memory Allocation,"The product manages a group of objects or resources and performs a separate memory allocation for each object, but it does not properly limit the total amount of memory that is consumed by all of the combined objects.", 
1326,Missing Immutable Root of Trust in Hardware,A missing immutable root of trust in the hardware results in the ability to bypass secure boot or execute untrusted or adversarial boot code., 
1327,Binding to an Unrestricted IP Address,"The product assigns the address 0.0.0.0 for a database server, a cloud service/instance, or any computing resource that communicates remotely.", 
1328,Security Version Number Mutable to Older Versions,"Security-version number in hardware is mutable, resulting in the ability to downgrade (roll-back) the boot firmware to vulnerable code versions.", 
1329,Reliance on Component That is Not Updateable,The product contains a component that cannot be updated or patched in order to remove vulnerabilities or significant bugs., 
1330,Remanent Data Readable after Memory Erase,Confidential information stored in memory circuits is readable or recoverable after being cleared or erased., 
1331,Improper Isolation of Shared Resources in Network On Chip (NoC),"The Network On Chip (NoC) does not isolate or incorrectly isolates its on-chip-fabric and internal resources such that they are shared between trusted and untrusted agents, creating timing channels.", 
1332,Improper Handling of Faults that Lead to Instruction Skips,The device is missing or incorrectly implements circuitry or sensors that detect and mitigate the skipping of security-critical CPU instructions when they occur., 
1333,Inefficient Regular Expression Complexity,"The product uses a regular expression with an inefficient, possibly exponential worst-case computational complexity that consumes excessive CPU cycles.",High
1334,Unauthorized Error Injection Can Degrade Hardware Redundancy,An unauthorized agent can inject errors into a redundant block to deprive the system of redundancy or put the system in a degraded operating mode., 
1335,Incorrect Bitwise Shift of Integer,An integer value is specified to be shifted by a negative amount or an amount greater than or equal to the number of bits contained in the value causing an unexpected or indeterminate result., 
1336,Improper Neutralization of Special Elements Used in a Template Engine,"The product uses a template engine to insert or process externally-influenced input, but it does not neutralize or incorrectly neutralizes special elements or syntax that can be interpreted as template expressions or other code directives when processed by the engine.", 
1338,Improper Protections Against Hardware Overheating,A hardware device is missing or has inadequate protection features to prevent overheating., 
1339,Insufficient Precision or Accuracy of a Real Number,"The program processes a real number with an implementation in which the number’s representation does not preserve required accuracy and precision in its fractional part, causing an incorrect result.", 
134,Use of Externally-Controlled Format String,"The software uses a function that accepts a format string as an argument, but the format string originates from an external source.",High
1341,Multiple Releases of Same Resource or Handle,"The product attempts to close or release a resource or handle more than once, without an intervening successful open.", 
1342,Information Exposure through Microarchitectural State after Transient Execution,"The processor does not properly clear microarchitectural state after incorrect microcode assists or speculative execution, resulting in transient execution.", 
135,Incorrect Calculation of Multi-Byte String Length,The software does not correctly calculate the length of strings that can contain wide or multi-byte characters., 
1351,Improper Handling of Hardware Behavior in Exceptionally Cold Environments,"A hardware device, or the firmware running on it, is missing or has incorrect protection features to maintain goals of security primitives when the device is cooled below standard operating temperatures.", 
138,Improper Neutralization of Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as control elements or syntactic markers when they are sent to a downstream component.", 
14,Compiler Removal of Code to Clear Buffers,"Sensitive memory is cleared according to the source code, but compiler optimizations leave the memory untouched when it is not read from again, aka  dead store removal. ", 
140,Improper Neutralization of Delimiters,The software does not neutralize or incorrectly neutralizes delimiters., 
141,Improper Neutralization of Parameter/Argument Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as parameter or argument delimiters when they are sent to a downstream component.", 
142,Improper Neutralization of Value Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as value delimiters when they are sent to a downstream component.", 
143,Improper Neutralization of Record Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as record delimiters when they are sent to a downstream component.", 
144,Improper Neutralization of Line Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as line delimiters when they are sent to a downstream component.", 
145,Improper Neutralization of Section Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as section delimiters when they are sent to a downstream component.", 
146,Improper Neutralization of Expression/Command Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as expression or command delimiters when they are sent to a downstream component.", 
147,Improper Neutralization of Input Terminators,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as input terminators when they are sent to a downstream component.", 
148,Improper Neutralization of Input Leaders,"The application does not properly handle when a leading character or sequence ( leader ) is missing or malformed, or if multiple leaders are used when only one should be allowed.", 
149,Improper Neutralization of Quoting Syntax,"Quotes injected into an application can be used to compromise a system. As data are parsed, an injected/absent/duplicate/malformed use of quotes may cause the process to take unexpected actions.", 
15,External Control of System or Configuration Setting,One or more system settings or configuration elements can be externally controlled by a user., 
150,"Improper Neutralization of Escape, Meta, or Control Sequences","The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as escape, meta, or control character sequences when they are sent to a downstream component.", 
151,Improper Neutralization of Comment Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as comment delimiters when they are sent to a downstream component.", 
152,Improper Neutralization of Macro Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as macro symbols when they are sent to a downstream component.", 
153,Improper Neutralization of Substitution Characters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as substitution characters when they are sent to a downstream component.", 
154,Improper Neutralization of Variable Name Delimiters,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as variable name delimiters when they are sent to a downstream component.", 
155,Improper Neutralization of Wildcards or Matching Symbols,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as wildcards or matching symbols when they are sent to a downstream component.", 
156,Improper Neutralization of Whitespace,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes special elements that could be interpreted as whitespace when they are sent to a downstream component.", 
157,Failure to Sanitize Paired Delimiters,"The software does not properly handle the characters that are used to mark the beginning and ending of a group of entities, such as parentheses, brackets, and braces.", 
158,Improper Neutralization of Null Byte or NUL Character,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes NUL characters or null bytes when they are sent to a downstream component.", 
159,Improper Handling of Invalid Use of Special Elements,"The product does not properly filter, remove, quote, or otherwise manage the invalid use of special elements in user-controlled input, which could cause adverse effect on its behavior and integrity.", 
160,Improper Neutralization of Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
161,Improper Neutralization of Multiple Leading Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple leading special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
162,Improper Neutralization of Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
163,Improper Neutralization of Multiple Trailing Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple trailing special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
164,Improper Neutralization of Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
165,Improper Neutralization of Multiple Internal Special Elements,"The software receives input from an upstream component, but it does not neutralize or incorrectly neutralizes multiple internal special elements that could be interpreted in unexpected ways when they are sent to a downstream component.", 
166,Improper Handling of Missing Special Element,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an expected special element is missing.", 
167,Improper Handling of Additional Special Element,"The software receives input from an upstream component, but it does not handle or incorrectly handles when an additional unexpected special element is provided.", 
168,Improper Handling of Inconsistent Special Elements,The software does not properly handle input in which an inconsistency exists between two or more special characters or reserved words., 
170,Improper Null Termination,The software does not terminate or incorrectly terminates a string or array with a null character or equivalent terminator.,Medium
172,Encoding Error,"The software does not properly encode or decode the data, resulting in unexpected values.", 
173,Improper Handling of Alternate Encoding,The software does not properly handle when an input uses an alternate encoding that is valid for the control sphere to which the input is being sent., 
174,Double Decoding of the Same Data,"The software decodes the same input twice, which can limit the effectiveness of any protection mechanism that occurs in between the decoding operations.", 
175,Improper Handling of Mixed Encoding,The software does not properly handle when the same input uses several different (mixed) encodings., 
176,Improper Handling of Unicode Encoding,The software does not properly handle when an input contains Unicode encoding., 
177,Improper Handling of URL Encoding (Hex Encoding),The software does not properly handle when all or part of an input has been URL encoded., 
178,Improper Handling of Case Sensitivity,"The software does not properly account for differences in case sensitivity when accessing or determining the properties of a resource, leading to inconsistent results.", 
179,Incorrect Behavior Order: Early Validation,"The software validates input before applying protection mechanisms that modify the input, which could allow an attacker to bypass the validation via dangerous inputs that only arise after the modification.", 
180,Incorrect Behavior Order: Validate Before Canonicalize,"The software validates input before it is canonicalized, which prevents the software from detecting data that becomes invalid after the canonicalization step.", 
181,Incorrect Behavior Order: Validate Before Filter,"The software validates data before it has been filtered, which prevents the software from detecting data that becomes invalid after the filtering step.", 
182,Collapse of Data into Unsafe Value,The software filters data in a way that causes it to be reduced or  collapsed  into an unsafe value that violates an expected security property., 
183,Permissive List of Allowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are explicitly allowed by policy because the inputs are assumed to be safe, but the list is too permissive - that is, it allows an input that is unsafe, leading to resultant weaknesses.", 
184,Incomplete List of Disallowed Inputs,"The product implements a protection mechanism that relies on a list of inputs (or properties of inputs) that are not allowed by policy or otherwise require other action to neutralize before additional processing takes place, but the list is incomplete, leading to resultant weaknesses.", 
185,Incorrect Regular Expression,The software specifies a regular expression in a way that causes data to be improperly matched or compared., 
186,Overly Restrictive Regular Expression,"A regular expression is overly restrictive, which prevents dangerous values from being detected.", 
187,Partial String Comparison,"The software performs a comparison that only examines a portion of a factor before determining whether there is a match, such as a substring, leading to resultant weaknesses.", 
188,Reliance on Data/Memory Layout,"The software makes invalid assumptions about how protocol data or memory is organized at a lower level, resulting in unintended program behavior.",Low
190,Integer Overflow or Wraparound,"The software performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control.",Medium
191,Integer Underflow (Wrap or Wraparound),"The product subtracts one value from another, such that the result is less than the minimum allowable integer value, which produces a value that is not equal to the correct result.", 
192,Integer Coercion Error,"Integer coercion refers to a set of flaws pertaining to the type casting, extension, or truncation of primitive data types.",Medium
193,Off-by-one Error,"A product calculates or uses an incorrect maximum or minimum value that is 1 more, or 1 less, than the correct value.", 
194,Unexpected Sign Extension,"The software performs an operation on a number that causes it to be sign extended when it is transformed into a larger data type. When the original number is negative, this can produce unexpected values that lead to resultant weaknesses.",High
195,Signed to Unsigned Conversion Error,"The software uses a signed primitive and performs a cast to an unsigned primitive, which can produce an unexpected value if the value of the signed primitive can not be represented using an unsigned primitive.", 
196,Unsigned to Signed Conversion Error,"The software uses an unsigned primitive and performs a cast to a signed primitive, which can produce an unexpected value if the value of the unsigned primitive can not be represented using a signed primitive.",Medium
197,Numeric Truncation Error,Truncation errors occur when a primitive is cast to a primitive of a smaller size and data is lost in the conversion.,Low
198,Use of Incorrect Byte Ordering,"The software receives input from an upstream component, but it does not account for byte ordering (e.g. big-endian and little-endian) when processing the input, causing an incorrect number or value to be used.", 
20,Improper Input Validation,"The product receives input or data, but it does not validate or incorrectly validates that the input has the properties that are required to process the data safely and correctly.",High
200,Exposure of Sensitive Information to an Unauthorized Actor,The product exposes sensitive information to an actor that is not explicitly authorized to have access to that information.,High
201,Insertion of Sensitive Information Into Sent Data,"The code transmits data to another actor, but a portion of the data includes sensitive information that should not be accessible to that actor.", 
202,Exposure of Sensitive Information Through Data Queries,"When trying to keep information confidential, an attacker can often infer some of the information by using statistics.",Medium
203,Observable Discrepancy,"The product behaves differently or sends different responses under different circumstances in a way that is observable to an unauthorized actor, which exposes security-relevant information about the state of the product, such as whether a particular operation was successful or not.", 
204,Observable Response Discrepancy,The product provides different responses to incoming requests in a way that reveals internal state information to an unauthorized actor outside of the intended control sphere., 
205,Observable Behavioral Discrepancy,"The product's behaviors indicate important differences that may be observed by unauthorized actors in a way that reveals (1) its internal state or decision process, or (2) differences from other products with equivalent functionality.", 
206,Observable Internal Behavioral Discrepancy,"The product performs multiple behaviors that are combined to produce a single result, but the individual behaviors are observable separately in a way that allows attackers to reveal internal state or internal decision points.", 
207,Observable Behavioral Discrepancy With Equivalent Products,"The product operates in an environment in which its existence or specific identity should not be known, but it behaves differently than other products with equivalent functionality, in a way that is observable to an attacker.", 
208,Observable Timing Discrepancy,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or not.", 
209,Generation of Error Message Containing Sensitive Information,"The software generates an error message that includes sensitive information about its environment, users, or associated data.",High
210,Self-generated Error Message Containing Sensitive Information,The software identifies an error condition and creates its own diagnostic or error messages that contain sensitive information., 
211,Externally-Generated Error Message Containing Sensitive Information,"The application performs an operation that triggers an external diagnostic or error message that is not directly generated or controlled by the application, such as an error generated by the programming language interpreter that the software uses. The error can contain sensitive system information.", 
212,Improper Removal of Sensitive Information Before Storage or Transfer,"The product stores, transfers, or shares a resource that contains sensitive information, but it does not properly remove that information before the product makes the resource available to unauthorized actors.", 
213,Exposure of Sensitive Information Due to Incompatible Policies,"The product's intended functionality exposes information to certain actors in accordance with the developer's security policy, but this information is regarded as sensitive according to the intended security policies of other stakeholders such as the product's administrator, users, or others whose information is being processed.", 
214,Invocation of Process Using Visible Sensitive Information,"A process is invoked with sensitive command-line arguments, environment variables, or other elements that can be seen by other processes on the operating system.", 
215,Insertion of Sensitive Information Into Debugging Code,"The application inserts sensitive information into debugging code, which could expose this information if the debugging code is not disabled in production.", 
216,DEPRECATED: Containment Errors (Container Errors),"This entry has been deprecated, as it was not effective as a weakness and was structured more like a category. In addition, the name is inappropriate, since the  container  term is widely understood by developers in different ways than originally intended by PLOVER, the original source for this entry.", 
217,DEPRECATED: Failure to Protect Stored Data from Modification,This entry has been deprecated because it incorporated and confused multiple weaknesses. The issues formerly covered in this entry can be found at CWE-766 and CWE-767., 
218,DEPRECATED: Failure to provide confidentiality for stored data,This weakness has been deprecated because it was a duplicate of CWE-493. All content has been transferred to CWE-493., 
219,Storage of File with Sensitive Data Under Web Root,"The application stores sensitive data under the web document root with insufficient access control, which might make it accessible to untrusted parties.", 
22,Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),"The software uses external input to construct a pathname that is intended to identify a file or directory that is located underneath a restricted parent directory, but the software does not properly neutralize special elements within the pathname that can cause the pathname to resolve to a location that is outside of the restricted directory.",High
220,Storage of File With Sensitive Data Under FTP Root,"The application stores sensitive data under the FTP server root with insufficient access control, which might make it accessible to untrusted parties.", 
221,Information Loss or Omission,"The software does not record, or improperly records, security-relevant information that leads to an incorrect decision or hampers later analysis.", 
222,Truncation of Security-relevant Information,"The application truncates the display, recording, or processing of security-relevant information in a way that can obscure the source or nature of an attack.", 
223,Omission of Security-relevant Information,"The application does not record or display information that would be important for identifying the source or nature of an attack, or determining if an action is safe.", 
224,Obscured Security-relevant Information by Alternate Name,"The software records security-relevant information according to an alternate name of the affected entity, instead of the canonical name.", 
225,DEPRECATED: General Information Management Problems,This weakness can be found at CWE-199., 
226,Sensitive Information in Resource Not Removed Before Reuse,"The product releases a resource such as memory or a file so that it can be made available for reuse, but it does not clear or  zeroize  the information contained in the resource before the product performs a critical state transition or makes the resource available for reuse by other entities.", 
228,Improper Handling of Syntactically Invalid Structure,The product does not handle or incorrectly handles input that is not syntactically well-formed with respect to the associated specification., 
229,Improper Handling of Values,"The software does not properly handle when the expected number of values for parameters, fields, or arguments is not provided in input, or if those values are undefined.", 
23,Relative Path Traversal,"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize sequences such as  ..  that can resolve to a location that is outside of that directory.", 
230,Improper Handling of Missing Values,"The software does not handle or incorrectly handles when a parameter, field, or argument name is specified, but the associated value is missing, i.e. it is empty, blank, or null.", 
231,Improper Handling of Extra Values,The software does not handle or incorrectly handles when more values are provided than expected., 
232,Improper Handling of Undefined Values,"The software does not handle or incorrectly handles when a value is not defined or supported for the associated parameter, field, or argument name.", 
233,Improper Handling of Parameters,"The software does not properly handle when the expected number of parameters, fields, or arguments is not provided in input, or if those parameters are undefined.", 
234,Failure to Handle Missing Parameter,"If too few arguments are sent to a function, the function will still pop the expected number of arguments from the stack. Potentially, a variable number of arguments could be exhausted in a function as well.",High
235,Improper Handling of Extra Parameters,"The software does not handle or incorrectly handles when the number of parameters, fields, or arguments with the same name exceeds the expected amount.", 
236,Improper Handling of Undefined Parameters,"The software does not handle or incorrectly handles when a particular parameter, field, or argument name is not defined or supported by the product.", 
237,Improper Handling of Structural Elements,The software does not handle or incorrectly handles inputs that are related to complex structures., 
238,Improper Handling of Incomplete Structural Elements,The software does not handle or incorrectly handles when a particular structural element is not completely specified., 
239,Failure to Handle Incomplete Element,The software does not properly handle when a particular element is not completely specified., 
24,Path Traversal: '../filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize  ../  sequences that can resolve to a location that is outside of that directory.", 
240,Improper Handling of Inconsistent Structural Elements,"The software does not handle or incorrectly handles when two or more structural elements should be consistent, but are not.", 
241,Improper Handling of Unexpected Data Type,"The software does not handle or incorrectly handles when a particular element is not the expected type, e.g. it expects a digit (0-9) but is provided with a letter (A-Z).", 
242,Use of Inherently Dangerous Function,The program calls a function that can never be guaranteed to work safely.,High
243,Creation of chroot Jail Without Changing Working Directory,"The program uses the chroot() system call to create a jail, but does not change the working directory afterward. This does not prevent access to files outside of the jail.",High
244,Improper Clearing of Heap Memory Before Release ('Heap Inspection'),"Using realloc() to resize buffers that store sensitive information can leave the sensitive information exposed to attack, because it is not removed from memory.", 
245,J2EE Bad Practices: Direct Management of Connections,"The J2EE application directly manages connections, instead of using the container's connection management facilities.", 
246,J2EE Bad Practices: Direct Use of Sockets,The J2EE application directly uses sockets instead of using framework method calls., 
247,DEPRECATED: Reliance on DNS Lookups in a Security Decision,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350., 
248,Uncaught Exception,"An exception is thrown from a function, but it is not caught.", 
249,DEPRECATED: Often Misused: Path Manipulation,"This entry has been deprecated because of nameconfusion and an accidental combination of multipleweaknesses. Most of its content has been transferred toCWE-785. This entry was deprecated for several reasons. The primary reason is over-loading of the  path manipulation  term and the description. The original description for this entry was the same as that for the  Often Misused: File System  item in the original Seven Pernicious Kingdoms paper. However, Seven Pernicious Kingdoms also has a  Path Manipulation  phrase that is for external control of pathnames (CWE-73), which is a factor in symbolic link following and path traversal, neither of which is explicitly mentioned in 7PK. Fortify uses the phrase  Often Misused: Path Manipulation  for a broader range of problems, generally for issues related to buffer management. Given the multiple conflicting uses of this term, there is a chance that CWE users may have incorrectly mapped to this entry.The second reason for deprecation is an implied combination ofmultiple weaknesses within buffer-handling functions. Thefocus of this entry was generally on the path-conversionfunctions and their association with bufferoverflows. However, some of Fortify's Vulncat entries have theterm  path manipulation  but describe a non-overflow weaknessin which the buffer is not guaranteed to contain the entirepathname, i.e., there is information truncation (see CWE-222for a similar concept). A new entry for this non-overflowweakness may be created in a future version of CWE.", 
25,Path Traversal: '/../filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize  /../  sequences that can resolve to a location that is outside of that directory.", 
250,Execution with Unnecessary Privileges,"The software performs an operation at a privilege level that is higher than the minimum level required, which creates new weaknesses or amplifies the consequences of other weaknesses.",Medium
252,Unchecked Return Value,"The software does not check the return value from a method or function, which can prevent it from detecting unexpected states and conditions.",Low
253,Incorrect Check of Function Return Value,"The software incorrectly checks a return value from a function, which prevents the software from detecting errors or exceptional conditions.",Low
256,Plaintext Storage of a Password,Storing a password in plaintext may result in a system compromise.,High
257,Storing Passwords in a Recoverable Format,"The storage of passwords in a recoverable format makes them subject to password reuse attacks by malicious users. In fact, it should be noted that recoverable encrypted passwords provide no significant benefit over plaintext passwords since they are subject not only to reuse by malicious attackers but also by malicious insiders. If a system administrator can recover a password directly, or use a brute force search on the available information, the administrator can use the password on other accounts.",High
258,Empty Password in Configuration File,Using an empty string as a password is insecure.,High
259,Use of Hard-coded Password,"The software contains a hard-coded password, which it uses for its own inbound authentication or for outbound communication to external components.",High
26,Path Traversal: '/dir/../filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize  /dir/../filename  sequences that can resolve to a location that is outside of that directory.", 
260,Password in Configuration File,The software stores a password in a configuration file that might be accessible to actors who do not know the password., 
261,Weak Encoding for Password,Obscuring a password with a trivial encoding does not protect the password., 
262,Not Using Password Aging,"If no mechanism is in place for managing password aging, users will have no incentive to update passwords in a timely manner.",Low
263,Password Aging with Long Expiration,Allowing password aging to occur unchecked can result in the possibility of diminished password integrity.,Low
266,Incorrect Privilege Assignment,"A product incorrectly assigns a privilege to a particular actor, creating an unintended sphere of control for that actor.", 
267,Privilege Defined With Unsafe Actions,"A particular privilege, role, capability, or right can be used to perform unsafe actions that were not intended, even when it is assigned to the correct entity.", 
268,Privilege Chaining,"Two distinct privileges, roles, capabilities, or rights can be combined in a way that allows an entity to perform unsafe actions that would not be allowed without that combination.",High
269,Improper Privilege Management,"The software does not properly assign, modify, track, or check privileges for an actor, creating an unintended sphere of control for that actor.",Medium
27,Path Traversal: 'dir/../../filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize multiple internal  ../  sequences that can resolve to a location that is outside of that directory.", 
270,Privilege Context Switching Error,The software does not properly manage privileges while it is switching between different contexts that have different privileges or spheres of control., 
271,Privilege Dropping / Lowering Errors,The software does not drop privileges before passing control of a resource to an actor that does not have those privileges.,High
272,Least Privilege Violation,The elevated privilege level required to perform operations such as chroot() should be dropped immediately after the operation is performed., 
273,Improper Check for Dropped Privileges,The software attempts to drop privileges but does not check or incorrectly checks to see if the drop succeeded.,Medium
274,Improper Handling of Insufficient Privileges,"The software does not handle or incorrectly handles when it has insufficient privileges to perform an operation, leading to resultant weaknesses.", 
276,Incorrect Default Permissions,"During installation, installed file permissions are set to allow anyone to modify those files.",Medium
277,Insecure Inherited Permissions,A product defines a set of insecure permissions that are inherited by objects that are created by the program., 
278,Insecure Preserved Inherited Permissions,"A product inherits a set of insecure permissions for an object, e.g. when copying from an archive file, without user awareness or involvement.", 
279,Incorrect Execution-Assigned Permissions,"While it is executing, the software sets the permissions of an object in a way that violates the intended permissions that have been specified by the user.", 
28,Path Traversal: '..\filedir',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize  ..\  sequences that can resolve to a location that is outside of that directory.", 
280,Improper Handling of Insufficient Permissions or Privileges,The application does not handle or incorrectly handles when it has insufficient privileges to access resources or functionality as specified by their permissions. This may cause it to follow unexpected code paths that may leave the application in an invalid state., 
281,Improper Preservation of Permissions,"The software does not preserve permissions or incorrectly preserves permissions when copying, restoring, or sharing objects, which can cause them to have less restrictive permissions than intended.", 
282,Improper Ownership Management,"The software assigns the wrong ownership, or does not properly verify the ownership, of an object or resource.", 
283,Unverified Ownership,The software does not properly verify that a critical resource is owned by the proper entity., 
284,Improper Access Control,The software does not restrict or incorrectly restricts access to a resource from an unauthorized actor., 
285,Improper Authorization,The software does not perform or incorrectly performs an authorization check when an actor attempts to access a resource or perform an action.,High
286,Incorrect User Management,The software does not properly manage a user within its environment., 
287,Improper Authentication,"When an actor claims to have a given identity, the software does not prove or insufficiently proves that the claim is correct.",High
288,Authentication Bypass Using an Alternate Path or Channel,"A product requires authentication, but the product has an alternate path or channel that does not require authentication.", 
289,Authentication Bypass by Alternate Name,"The software performs authentication based on the name of a resource being accessed, or the name of the actor performing the access, but it does not properly check all possible names for that resource or actor.", 
29,Path Traversal: '\..\filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.", 
290,Authentication Bypass by Spoofing,This attack-focused weakness is caused by improperly implemented authentication schemes that are subject to spoofing attacks., 
291,Reliance on IP Address for Authentication,The software uses an IP address for authentication.,High
292,DEPRECATED: Trusting Self-reported DNS Name,This entry has been deprecated because it was a duplicate of CWE-350. All content has been transferred to CWE-350., 
293,Using Referer Field for Authentication,"The referer field in HTTP requests can be easily modified and, as such, is not a valid means of message integrity checking.",High
294,Authentication Bypass by Capture-replay,A capture-replay flaw exists when the design of the software makes it possible for a malicious user to sniff network traffic and bypass authentication by replaying it to the server in question to the same effect as the original message (or with minor changes).,High
295,Improper Certificate Validation,"The software does not validate, or incorrectly validates, a certificate.", 
296,Improper Following of a Certificate's Chain of Trust,"The software does not follow, or incorrectly follows, the chain of trust for a certificate back to a trusted root certificate, resulting in incorrect trust of any resource that is associated with that certificate.",Low
297,Improper Validation of Certificate with Host Mismatch,"The software communicates with a host that provides a certificate, but the software does not properly ensure that the certificate is actually associated with that host.",High
298,Improper Validation of Certificate Expiration,"A certificate expiration is not validated or is incorrectly validated, so trust may be assigned to certificates that have been abandoned due to age.",Low
299,Improper Check for Certificate Revocation,"The software does not check or incorrectly checks the revocation status of a certificate, which may cause it to use a certificate that has been compromised.",Medium
30,Path Traversal: '\dir\..\filename',"The software uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize '\dir\..\filename' (leading backslash dot dot) sequences that can resolve to a location that is outside of that directory.", 
300,Channel Accessible by Non-Endpoint,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.", 
301,Reflection Attack in an Authentication Protocol,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.,Medium
302,Authentication Bypass by Assumed-Immutable Data,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.", 
303,Incorrect Implementation of Authentication Algorithm,"The requirements for the software dictate the use of an established authentication algorithm, but the implementation of the algorithm is incorrect.", 
304,Missing Critical Step in Authentication,"The software implements an authentication technique, but it skips a step that weakens the technique.", 
305,Authentication Bypass by Primary Weakness,"The authentication algorithm is sound, but the implemented mechanism can be bypassed as the result of a separate weakness that is primary to the authentication error.", 
306,Missing Authentication for Critical Function,The software does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,High
307,Improper Restriction of Excessive Authentication Attempts,"The software does not implement sufficient measures to prevent multiple failed authentication attempts within in a short time frame, making it more susceptible to brute force attacks.", 
308,Use of Single-factor Authentication,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,High
309,Use of Password System for Primary Authentication,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",High
